bfs,name,domain,mx,mx_jurisdiction,confidence,rule,target_address,reason
IT-COM-115069,Comune di Siris,comune.siris.or.it,ms91731427.msv1.invalid,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.siris.or.it,MX (ms91731427.msv1.invalid) is self-hosted
IT-COM-031023,Comune di Staranzano,comune.staranzano.go.it,relay-rupar-pri.regione.fvg.it;relay-rupar-sec.regione.fvg.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.staranzano.go.it,"MX (relay-rupar-pri.regione.fvg.it, relay-rupar-sec.regione.fvg.it) is self-hosted"
IT-COM-096065,Comune di Strona,comune.strona.bi.it,mail.comune.strona.bi.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.strona.bi.it,MX (mail.comune.strona.bi.it) is self-hosted
IT-COM-030116,Comune di Tarcento,comune.tarcento.ud.it,relay-rupar-pri.regione.fvg.it;relay-rupar-sec.regione.fvg.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.tarcento.ud.it,"MX (relay-rupar-pri.regione.fvg.it, relay-rupar-sec.regione.fvg.it) is self-hosted"
IT-COM-004229,Comune di Torresina,comune.torresina.cn.it,mail.comune.torresina.cn.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.torresina.cn.it,MX (mail.comune.torresina.cn.it) is self-hosted
IT-COM-006176,Comune di Trisobbio,comune.trisobbio.al.it,mail.comune.trisobbio.al.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.trisobbio.al.it,MX (mail.comune.trisobbio.al.it) is self-hosted
IT-COM-031024,Comune di Turriaco,comune.turriaco.go.it,relay-rupar-pri.regione.fvg.it;relay-rupar-sec.regione.fvg.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.turriaco.go.it,"MX (relay-rupar-pri.regione.fvg.it, relay-rupar-sec.regione.fvg.it) is self-hosted"
IT-COM-030131,Comune di Venzone,comune.venzone.ud.it,relay-rupar-pri.regione.fvg.it;relay-rupar-sec.regione.fvg.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.venzone.ud.it,"MX (relay-rupar-pri.regione.fvg.it, relay-rupar-sec.regione.fvg.it) is self-hosted"
IT-COM-005113,Comune di Vesime,comune.vesime.at.it,mail.comune.vesime.at.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.vesime.at.it,MX (mail.comune.vesime.at.it) is self-hosted
IT-COM-002166,Comune di Vocca,comune.vocca.vc.it,mail.comune.vocca.vc.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@comune.vocca.vc.it,MX (mail.comune.vocca.vc.it) is self-hosted
IT-L44-cdbdb,Consiglio di Bacino Dolomiti Bellunesi,consigliobacinoidrico.belluno.it,mail.consigliobacinoidrico.belluno.it,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@consigliobacinoidrico.belluno.it,MX (mail.consigliobacinoidrico.belluno.it) is self-hosted
IT-C14-cnpd,Consiglio Notarile di Padova,consiglionotarilepadova.it,mail.consiglionotarilepadova.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@consiglionotarilepadova.it,MX (mail.consiglionotarilepadova.it) is self-hosted
IT-C14-cop_pe,Ordine della professione di Ostetrica della Provincia di Pescara,fnco.it,mx10.antispam.mailspamprotection.com;mx20.antispam.mailspamprotection.com;mx30.antispam.mailspamprotection.com,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@fnco.it,MX is mailspamprotection gateway; backend provider unknown
IT-S01-V8URJNAS,FRIULI VENEZIA GIULIA STRADE SPA,fvgstrade.it,mail.fvgstrade.it,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@fvgstrade.it,MX (mail.fvgstrade.it) is self-hosted
IT-L37-galc,G.A.L. Campidano,galcampidano.it,mx.galcampidano.it,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@galcampidano.it,"riclassificato da aws: segnale cloud (tenant/DKIM) presente ma MX in entrata self-hosted domestico (il tenant cloud riflette uso Teams/SharePoint, non l'email)"
IT-L33-icgp,Istituto Comprensivo G. Puecher,icspuechererba.edu.it,mx.icspuerchererba.edu.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@icspuechererba.edu.it,MX (mx.icspuerchererba.edu.it) is self-hosted
IT-L33-istsc_pdic89400c,ISTITUTO COMPRENSIVO - CONSELVE 'NICOLO' TOMMASEO',ictommaseo.edu.it,mail.gecomail.net,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@ictommaseo.edu.it,MX is gecomail gateway; backend provider unknown
IT-L33-istsc_geis01300x,ISTRUZIONE SECONDARIA SUPERIORE - LICETI,iissliceti.it,mail-a.range-id.it;rmx1.range-id.it,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@iissliceti.it,"MX (mail-a.range-id.it, rmx1.range-id.it) is self-hosted"
IT-L43-isl_058,Istituto Superiore per Le Industrie Artistiche di Roma,isiaroma.it,_dc-mx.36a27af53e79.isiaroma.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@isiaroma.it,MX (_dc-mx.36a27af53e79.isiaroma.it) is self-hosted
IT-L33-istsc_riic806008,ISTITUTO COMPRENSIVO - LEONESSA,istitutocomprensivodileonessa.it,mail.istitutocomprensivodileonessa.it,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@istitutocomprensivodileonessa.it,"riclassificato da aws: segnale cloud (tenant/DKIM) presente ma MX in entrata self-hosted domestico (il tenant cloud riflette uso Teams/SharePoint, non l'email)"
IT-L37-OC1QYJAW,ITS PER LE NUOVE TECNOLOGIE PER IL MADE IN ITALY EMPORIUM DEL GOLFO,itsemporiumdelgolfo.it,_dc-mx.6c2c0d9303d6.itsemporiumdelgolfo.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@itsemporiumdelgolfo.it,MX (_dc-mx.6c2c0d9303d6.itsemporiumdelgolfo.it) is self-hosted
IT-L33-istsc_capc03000v,LICEO CLASSICO - LC G.M.DETTORI,liceoclassicodettori.edu.it,mail.gecomail.net,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@liceoclassicodettori.edu.it,MX is gecomail gateway; backend provider unknown
IT-L33-istsc_czps02000r,LICEO SCIENTIFICO - LS 'GALILEI' LAMEZIA TERME,liceogalileilamezia.edu.it,mx.liceogalileilamezia.edu.it,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@liceogalileilamezia.edu.it,"riclassificato da aws: segnale cloud (tenant/DKIM) presente ma MX in entrata self-hosted domestico (il tenant cloud riflette uso Teams/SharePoint, non l'email)"
IT-L33-istsc_chpm02000g,ISTITUTO MAGISTRALE - I. GONZAGA,magistralechieti.edu.it,mail.gecomail.net,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@magistralechieti.edu.it,MX is gecomail gateway; backend provider unknown
IT-COM-109016,Comune di Monte Giberto,montegiberto.net,pop.irradium.it,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@montegiberto.net,MX (pop.irradium.it) is self-hosted
IT-SA-RM7V19PV,Consorzio Venezia Nuova,mosevenezia.eu,avas01.semplify.net;avas02.semplify.net,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@mosevenezia.eu,"MX (avas01.semplify.net, avas02.semplify.net) is self-hosted"
IT-SA-N0PNPPR5,Fondazione Museo Nazionale della Scienza e della Tecnologia Leonardo da Vinci,museoscienza.org,mail.rarodevelop.net,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@museoscienza.org,MX (mail.rarodevelop.net) is self-hosted
IT-C14-oap_001,Consiglio dell'Ordine Degli Avvocati di Pinerolo,ordineavvocatipinerolo.it,mail.dcssrl.it;mail2.dcssrl.it,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@ordineavvocatipinerolo.it,"MX (mail.dcssrl.it, mail2.dcssrl.it) is self-hosted"
IT-C14-omvpc,Ordine Dei Medici Veterinari della Provincia di Chieti,ordinemediciveterinarichieti.it,mx.ordinemediciveterinarichieti.it,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@ordinemediciveterinarichieti.it,"riclassificato da aws: segnale cloud (tenant/DKIM) presente ma MX in entrata self-hosted domestico (il tenant cloud riflette uso Teams/SharePoint, non l'email)"
IT-C14-omv_fc,Ordine dei Medici Veterinari della Provincia di Forli' Cesena,ordineveterinarifc.it,mx1.lonex.com;mx2.lonex.com,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@ordineveterinarifc.it,"MX (mx1.lonex.com, mx2.lonex.com) is self-hosted"
IT-L38-clgpp,Consorzio per La Gestione Provvisoria del Parco Naturale Regionale Dune Costiere,parcodunecostiere.org,mx10.antispam.mailspamprotection.com;mx20.antispam.mailspamprotection.com;mx30.antispam.mailspamprotection.com,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@parcodunecostiere.org,MX is mailspamprotection gateway; backend provider unknown
IT-L33-istsc_ctic885009,ISTITUTO COMPRENSIVO - IC G.PARINI - CATANIA,parinict.edu.it,mail.gecomail.net,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@parinict.edu.it,MX is gecomail gateway; backend provider unknown
IT-L36-sdszfn,Societa' della Salute Zona Fiorentina Nord Ovest,sds-nordovest.fi.it,mail.smtp2go.com,foreign,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@sds-nordovest.fi.it,MX (mail.smtp2go.com) is self-hosted
IT-L18-uc_coleu,Unione dei Comuni dei Colli Euganei,uce.pd.it,mbox.provincia.padova.it,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@uce.pd.it,MX (mbox.provincia.padova.it) is self-hosted
IT-L18-udpie,Uncem Delegazione Piemontese,uncem.piemonte.it,,unknown,0.5,frgn_mx_only,mxmap-probe-no-such-mailbox@uncem.piemonte.it,MX () is self-hosted
